contact_id,email,first_name,last_name,lifecycle_stage,original_source,created_at,merged_into_contact_id
HSCT00001,user1@example.com,User1,Last1,sql,PAID_SEARCH,2026-01-01T07:06:00Z,
HSCT00002,user2@example.com,User2,Last2,lead,PAID_SEARCH,2026-01-01T12:36:00Z,
HSCT00003,user3@example.com,User3,Last3,customer,PAID_SEARCH,2026-01-01T04:03:00Z,
HSCT00004,user4@example.com,User4,Last4,sql,PAID_SEARCH,2026-01-01T00:27:00Z,
HSCT00005,user5@example.com,User5,Last5,lead,PAID_SEARCH,2026-01-01T09:52:00Z,
HSCT00006,user6@example.com,User6,Last6,customer,PAID_SEARCH,2026-01-01T06:06:00Z,
HSCT00007,user7@example.com,User7,Last7,lead,PAID_SEARCH,2026-01-01T06:10:00Z,
HSCT00008,user8@example.com,User8,Last8,sql,PAID_SEARCH,2026-01-01T02:30:00Z,
HSCT00009,user9@example.com,User9,Last9,lead,PAID_SEARCH,2026-01-01T09:50:00Z,
HSCT00010,user10@example.com,User10,Last10,customer,PAID_SEARCH,2026-01-01T15:31:00Z,
HSCT00011,user11@example.com,User11,Last11,sql,PAID_SEARCH,2026-01-01T02:41:00Z,
HSCT00012,user12@example.com,User12,Last12,customer,PAID_SEARCH,2026-01-01T05:23:00Z,
HSCT00013,user13@example.com,User13,Last13,customer,PAID_SEARCH,2026-01-01T11:11:00Z,
HSCT00014,user14@example.com,User14,Last14,customer,PAID_SEARCH,2026-01-01T01:16:00Z,
HSCT00015,user15@example.com,User15,Last15,customer,PAID_SEARCH,2026-01-01T14:16:00Z,
HSCT00016,user16@example.com,User16,Last16,mql,PAID_SEARCH,2026-01-01T08:36:00Z,
HSCT00017,user17@example.com,User17,Last17,lead,PAID_SEARCH,2026-01-01T04:48:00Z,
HSCT00018,user18@example.com,User18,Last18,lead,PAID_SEARCH,2026-01-01T02:42:00Z,
HSCT00019,user19@example.com,User19,Last19,sql,PAID_SEARCH,2026-01-01T17:26:00Z,
HSCT00020,user20@example.com,User20,Last20,mql,PAID_SEARCH,2026-01-01T17:03:00Z,
HSCT00021,user21@example.com,User21,Last21,customer,PAID_SEARCH,2026-01-01T16:26:00Z,
HSCT00022,user22@example.com,User22,Last22,customer,PAID_SEARCH,2026-01-01T18:56:00Z,
HSCT00023,user23@example.com,User23,Last23,mql,PAID_SEARCH,2026-01-01T15:19:00Z,
HSCT00024,user24@example.com,User24,Last24,lead,PAID_SEARCH,2026-01-01T12:57:00Z,
HSCT00025,user25@example.com,User25,Last25,lead,PAID_SEARCH,2026-01-01T16:36:00Z,
HSCT00026,user26@example.com,User26,Last26,mql,PAID_SEARCH,2026-01-01T03:48:00Z,
HSCT00027,user27@example.com,User27,Last27,customer,PAID_SEARCH,2026-01-01T05:10:00Z,
HSCT00028,user28@example.com,User28,Last28,mql,PAID_SEARCH,2026-01-01T06:08:00Z,
HSCT00029,user29@example.com,User29,Last29,lead,PAID_SEARCH,2026-01-01T13:05:00Z,
HSCT00030,user30@example.com,User30,Last30,customer,PAID_SEARCH,2026-01-01T06:52:00Z,
HSCT00031,user31@example.com,User31,Last31,mql,PAID_SEARCH,2026-01-01T19:16:00Z,
HSCT00032,user32@example.com,User32,Last32,sql,PAID_SEARCH,2026-01-01T23:58:00Z,
HSCT00033,user33@example.com,User33,Last33,lead,PAID_SEARCH,2026-01-01T02:24:00Z,
HSCT00034,user34@example.com,User34,Last34,customer,PAID_SEARCH,2026-01-01T17:20:00Z,
HSCT00035,user35@example.com,User35,Last35,sql,PAID_SEARCH,2026-01-01T16:29:00Z,
HSCT00036,user36@example.com,User36,Last36,lead,PAID_SEARCH,2026-01-01T22:39:00Z,
HSCT00037,user37@example.com,User37,Last37,customer,PAID_SEARCH,2026-01-01T03:26:00Z,
HSCT00038,user38@example.com,User38,Last38,mql,PAID_SEARCH,2026-01-01T04:36:00Z,
HSCT00039,user39@example.com,User39,Last39,lead,PAID_SEARCH,2026-01-01T03:36:00Z,
HSCT00040,user40@example.com,User40,Last40,lead,PAID_SEARCH,2026-01-01T09:55:00Z,
HSCT00041,user41@example.com,User41,Last41,sql,PAID_SEARCH,2026-01-01T13:16:00Z,
HSCT00042,user42@example.com,User42,Last42,customer,PAID_SEARCH,2026-01-01T20:31:00Z,
HSCT00043,user43@example.com,User43,Last43,customer,PAID_SEARCH,2026-01-01T01:11:00Z,
HSCT00044,user44@example.com,User44,Last44,sql,PAID_SEARCH,2026-01-01T12:09:00Z,
HSCT00045,user45@example.com,User45,Last45,customer,PAID_SEARCH,2026-01-01T01:25:00Z,
HSCT00046,user46@example.com,User46,Last46,sql,PAID_SEARCH,2026-01-01T22:15:00Z,
HSCT00047,user47@example.com,User47,Last47,lead,PAID_SEARCH,2026-01-01T23:30:00Z,
HSCT00048,user48@example.com,User48,Last48,sql,PAID_SEARCH,2026-01-01T11:01:00Z,
HSCT00049,user49@example.com,User49,Last49,sql,PAID_SEARCH,2026-01-01T09:19:00Z,
HSCT00050,user50@example.com,User50,Last50,sql,PAID_SEARCH,2026-01-01T15:54:00Z,
HSCT00051,user51@example.com,User51,Last51,lead,PAID_SEARCH,2026-01-01T07:08:00Z,
HSCT00052,user52@example.com,User52,Last52,sql,PAID_SEARCH,2026-01-01T23:28:00Z,
HSCT00053,user53@example.com,User53,Last53,sql,PAID_SEARCH,2026-01-01T08:46:00Z,
HSCT00054,user54@example.com,User54,Last54,customer,PAID_SEARCH,2026-01-01T19:41:00Z,
HSCT00055,user55@example.com,User55,Last55,lead,PAID_SEARCH,2026-01-01T06:28:00Z,
HSCT00056,user56@example.com,User56,Last56,mql,PAID_SEARCH,2026-01-01T13:47:00Z,
